question_num,expert1_bloom,expert1_subject,expert1_persian,expert2_bloom,expert2_subject,expert2_persian,expert3_bloom,expert3_subject,expert3_persian,expert4_bloom,expert4_subject,expert4_persian,expert5_bloom,expert5_subject,expert5_persian,bloom_level,llm
1,5,3,4,2,2,3,5,5,5,4,4,4,2,4,3,1,1
1,5,3,4,2,2,3,5,5,5,4,4,4,2,4,3,1,2
1,5,3,4,2,2,3,5,5,5,4,4,4,2,4,3,1,3
1,5,3,4,2,2,3,5,5,5,4,4,4,2,4,3,1,4
2,4,4,5,3,3,5,5,5,5,3,4,4,3,4,3,1,1
2,4,4,5,3,3,5,5,5,5,3,4,4,3,4,3,1,2
2,4,4,5,3,3,5,5,5,5,3,4,4,3,4,3,1,3
3,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,1,1
3,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,1,2
3,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,1,3
4,5,4,5,4,4,5,5,5,5,4,4,1,4,4,3,1,1
4,5,4,5,4,4,5,5,5,5,4,4,1,4,4,3,1,2
4,5,4,5,4,4,5,5,5,5,4,4,1,4,4,3,1,4
5,5,4,5,4,3,5,5,5,5,4,4,4,3,4,3,1,1
5,5,4,5,4,3,5,5,5,5,4,4,4,3,4,3,1,2
6,5,4,5,4,1,4,5,4,5,2,4,4,4,4,2,1,1
6,5,4,5,4,1,4,5,4,5,2,4,4,4,4,2,1,2
7,3,3,4,4,4,5,3,4,5,4,4,4,2,4,4,1,1
8,5,4,4,4,3,5,4,5,5,4,4,4,2,4,3,1,1
9,5,4,5,4,3,5,4,5,5,4,4,4,3,4,3,1,1
10,5,4,5,4,3,5,4,5,5,4,4,4,2,4,3,1,1
11,5,4,4,2,4,5,4,5,5,4,4,4,2,4,3,1,2
12,5,5,5,2,1,3,5,5,5,4,4,4,4,4,4,1,2
13,2,4,5,2,4,5,4,5,5,2,4,4,2,4,3,1,3
14,5,5,2,3,3,4,2,5,5,2,4,4,4,4,4,1,4
15,4,4,2,2,4,5,3,4,2,2,4,2,2,3,2,1,4
16,3,3,2,4,2,5,4,5,3,2,4,2,4,4,4,1,4
17,4,4,5,4,3,5,5,5,5,4,4,4,4,4,4,2,1
17,4,4,5,4,3,5,5,5,5,4,4,4,4,4,4,2,2
17,4,4,5,4,3,5,5,5,5,4,4,4,4,4,4,2,3
18,2,5,5,4,2,5,4,5,5,4,4,4,4,4,3,2,1
18,2,5,5,4,2,5,4,5,5,4,4,4,4,4,3,2,2
19,2,5,5,3,1,5,5,5,5,2,4,4,4,4,4,2,1
19,2,5,5,3,1,5,5,5,5,2,4,4,4,4,4,2,3
20,2,5,5,4,4,5,4,5,5,4,4,4,4,4,4,2,2
20,2,5,5,4,4,5,4,5,5,4,4,4,4,4,4,2,3
21,4,5,5,4,4,5,5,5,5,2,4,4,4,4,4,2,1
22,4,5,5,4,4,5,4,5,5,2,3,4,2,4,3,2,1
23,4,4,5,4,2,5,4,5,5,2,4,4,4,4,4,2,1
24,3,5,5,4,4,5,4,5,5,4,4,4,4,4,4,2,1
25,2,5,5,4,4,5,4,5,5,4,4,4,4,4,4,2,1
26,5,5,5,5,4,5,4,5,5,2,4,4,4,4,4,2,2
27,5,5,5,4,2,3,5,5,5,2,4,4,4,4,4,2,2
28,5,5,5,4,2,5,4,5,5,2,4,4,4,4,3,2,2
29,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,2,2
30,4,5,5,3,1,3,5,5,5,4,3,1,3,3,3,2,2
31,2,5,5,4,2,5,5,5,5,4,4,4,4,4,4,2,2
32,5,5,5,3,2,5,5,5,5,2,4,4,4,4,4,2,3
33,5,5,5,5,4,5,4,5,5,4,4,4,2,4,4,2,3
34,3,3,2,2,2,3,3,5,5,2,4,4,4,4,4,2,4
35,3,3,1,1,3,2,4,5,5,4,4,2,2,4,2,2,4
36,4,4,2,4,3,5,5,5,5,2,4,4,4,4,4,2,4
37,4,4,2,4,3,5,4,5,5,4,4,4,4,4,4,2,4
